imdbID,value,Type
tt0103247,Adventure,Genre
tt0102818,Action,Genre
tt0102849,Comedy,Genre
tt0102411,Comedy,Genre
tt0102603,Comedy,Genre
tt0102593,Action,Genre
tt0103241,Comedy,Genre
tt0103262,Drama,Genre
tt0102803,Action,Genre
tt0101746,Drama,Genre
tt0103184,Action,Genre
tt0103128,Comedy,Genre
tt0102631,Drama,Genre
tt0101694,Crime,Genre
tt0101821,Comedy,Genre
tt0101453,Crime,Genre
tt0101414,Animation,Genre
tt0101862,Comedy,Genre
tt0104389,Drama,Genre
tt0104839,Adventure,Genre
tt0103827,Comedy,Genre
tt0105017,Comedy,Genre
tt0105481,Comedy,Genre
tt0105103,Comedy,Genre
tt0104187,Comedy,Genre
tt0105417,Comedy,Genre
tt0104990,Drama,Genre
tt0104437,Adventure,Genre
tt0105483,Crime,Genre
tt0103596,Action,Genre
tt0104376,Comedy,Genre
tt0104030,Comedy,Genre
tt0103924,Adventure,Genre
tt0105316,Drama,Genre
tt0104868,Comedy,Genre
tt0104006,Crime,Genre
tt0103639,Animation,Genre
tt0104114,Comedy,Genre
tt0104940,Comedy,Genre
tt0106246,Biography,Genre
tt0106315,Drama,Genre
tt0107131,Adventure,Genre
tt0106536,Comedy,Genre
tt0108265,Drama,Genre
tt0106868,Adventure,Genre
tt0106466,Comedy,Genre
tt0106223,Adventure,Genre
tt0106469,Crime,Genre
tt0107212,Comedy,Genre
tt0108255,Adventure,Genre
tt0107057,Crime,Genre
tt0107413,Comedy,Genre
tt0108551,Biography,Genre
tt0108186,Comedy,Genre
tt0107120,Comedy,Genre
tt0106292,Comedy,Genre
tt0107626,Comedy,Genre
tt0106877,Adventure,Genre
tt0107282,Drama,Genre
tt0107594,Comedy,Genre
tt0107889,Action,Genre
tt0106611,Adventure,Genre
tt0107688,Animation,Genre
tt0108333,Action,Genre
tt0108147,Comedy,Genre
tt0108358,Action,Genre
tt0109067,Comedy,Genre
tt0109361,Adventure,Genre
tt0110157,Adventure,Genre
tt0110612,Comedy,Genre
tt0109287,Comedy,Genre
tt0109129,Comedy,Genre
tt0110955,Comedy,Genre
tt0109520,Comedy,Genre
tt0110044,Comedy,Genre
tt0111701,Adventure,Genre
tt0110137,Comedy,Genre
tt0111693,Drama,Genre
tt0110971,Comedy,Genre
tt0110357,Animation,Genre
tt0110093,Action,Genre
tt0109127,Comedy,Genre
tt0110123,Comedy,Genre
tt0109456,Mystery,Genre
tt0110169,Comedy,Genre
tt0109369,Adventure,Genre
tt0111194,Drama,Genre
tt0110932,Biography,Genre
tt0111400,Action,Genre
tt0109707,Biography,Genre
tt0111003,Horror,Genre
tt0111271,Adventure,Genre
tt0111070,Comedy,Genre
tt0110399,Action,Genre
tt0110213,Adventure,Genre
tt0110066,Comedy,Genre
tt0112443,Crime,Genre
tt0113808,Comedy,Genre
tt0110006,Comedy,Genre
tt0113755,Comedy,Genre
tt0114296,Comedy,Genre
tt0111359,Adventure,Genre
tt0113463,Biography,Genre
tt0113133,Comedy,Genre
tt0113198,Animation,Genre
tt0114924,Comedy,Genre
tt0114210,Comedy,Genre
tt0112740,Action,Genre
tt0113729,Comedy,Genre
tt0112792,Biography,Genre
tt0114148,Animation,Genre
tt0113492,Action,Genre
tt0114048,Action,Genre
tt0113538,Adventure,Genre
tt0114798,Comedy,Genre
tt0114666,Crime,Genre
tt0112499,Comedy,Genre
tt0112819,Action,Genre
tt0114345,Drama,Genre
tt0113044,Crime,Genre
tt0113104,Documentary,Genre
tt0114168,Drama,Genre
tt0112302,Adventure,Genre
tt0114709,Animation,Genre
tt0113041,Comedy,Genre
tt0113987,Biography,Genre
tt0113862,Drama,Genre
tt0118158,Adventure,Genre
tt0117110,Action,Genre
tt0117102,Comedy,Genre
tt0115645,Crime,Genre
tt12007558,Talk-Show,Genre
tt0116552,Adventure,Genre
tt0116683,Animation,Genre
tt0115851,Comedy,Genre
tt0116827,Drama,Genre
tt0115742,Drama,Genre
tt0117723,Action,Genre
tt0116168,Comedy,Genre
tt0117500,Action,Genre
tt0116583,Animation,Genre
tt0117333,Drama,Genre
tt0116756,Comedy,Genre
tt0116669,Comedy,Genre
tt0116311,Family,Genre
tt0117473,Thriller,Genre
tt0116000,Action,Genre
tt0115580,Comedy,Genre
tt0117438,Action,Genre
tt0118117,Drama,Genre
tt0115433,Adventure,Genre
tt0117372,Comedy,Genre
tt0116250,Biography,Genre
tt0119664,Action,Genre
tt0119937,Biography,Genre
tt0120107,Action,Genre
tt0120317,Action,Genre
tt0119432,Comedy,Genre
tt0119229,Action,Genre
tt0120032,Comedy,Genre
tt0119214,Comedy,Genre
tt0118880,Action,Genre
tt0119094,Action,Genre
tt0119282,Animation,Genre
tt0119190,Action,Genre
tt0119807,Action,Genre
tt0118571,Action,Genre
tt0118570,Comedy,Genre
tt0119173,Action,Genre
tt0120323,Drama,Genre
tt0120029,Comedy,Genre
tt0119906,Crime,Genre
tt0120481,Drama,Genre
tt0120201,Action,Genre
tt0119137,Comedy,Genre
tt0119718,Adventure,Genre
tt0118604,Comedy,Genre
tt0119485,Biography,Genre
tt0129634,Comedy,Genre
tt0118956,Action,Genre
tt0120725,Comedy,Genre
tt0120645,Comedy,Genre
tt0124718,Drama,Genre
tt0119314,Drama,Genre
tt0120828,Action,Genre
tt0120762,Animation,Genre
tt0120591,Action,Genre
tt0120741,Comedy,Genre
tt0120783,Adventure,Genre
tt0120832,Crime,Genre
tt0124879,Comedy,Genre
tt0120701,Comedy,Genre
tt0128445,Comedy,Genre
tt0120603,Drama,Genre
tt0120484,Comedy,Genre
tt0155753,Comedy,Genre
tt0120660,Action,Genre
tt0120623,Animation,Genre
tt0120751,Action,Genre
tt5216282,Short,Genre
tt0120764,Comedy,Genre
tt0123209,Comedy,Genre
tt0187819,Animation,Genre
tt0147800,Comedy,Genre
tt0128278,Drama,Genre
tt0120855,Animation,Genre
tt0162677,Crime,Genre
tt0141369,Action,Genre
tt0163187,Comedy,Genre
tt0167404,Drama,Genre
tt0120657,Action,Genre
tt0120618,Comedy,Genre
tt0140397,Comedy,Genre
tt0134618,Comedy,Genre
tt0166896,Biography,Genre
tt0163988,Drama,Genre
tt0140352,Biography,Genre
tt0146675,Action,Genre
tt0120363,Animation,Genre
tt0205000,Comedy,Genre
tt0150216,Drama,Genre
tt0182789,Comedy,Genre
tt0174856,Biography,Genre
tt0171356,Comedy,Genre
tt0220099,Animation,Genre
tt0183523,Adventure,Genre
tt0146882,Comedy,Genre
tt0171433,Comedy,Genre
tt0130623,Animation,Genre
tt0184894,Action,Genre
tt0187078,Action,Genre
tt0200550,Comedy,Genre
tt0198386,Comedy,Genre
tt0134630,Comedy,Genre
tt0210945,Biography,Genre
tt0217869,Drama,Genre
tt0211181,Adventure,Genre
tt0120917,Animation,Genre
tt0190590,Adventure,Genre
tt0238948,Action,Genre
tt0265632,Animation,Genre
tt0189192,Comedy,Genre
tt0213149,Action,Genre
tt0230011,Animation,Genre
tt0250224,Drama,Genre
tt0247638,Comedy,Genre
tt0258470,Adventure,Genre
tt0229003,Drama,Genre
tt0273799,Comedy,Genre
tt0250310,Comedy,Genre
tt0253126,Action,Genre
tt0198781,Animation,Genre
tt0253798,Comedy,Genre
tt0265666,Comedy,Genre
tt0281373,Adventure,Genre
tt0245844,Action,Genre
tt0280030,Animation,Genre
tt0259288,Drama,Genre
tt0279781,Comedy,Genre
tt0265662,Drama,Genre
tt0246464,Comedy,Genre
tt0281865,Comedy,Genre
tt0297445,Documentary,Genre
tt0280486,Action,Genre
tt0275847,Animation,Genre
tt0253556,Action,Genre
tt0276033,Comedy,Genre
tt0286106,Drama,Genre
tt0256415,Comedy,Genre
tt0179098,Drama,Genre
tt0283084,Drama,Genre
tt0267248,Drama,Genre
tt0304669,Comedy,Genre
tt0133240,Animation,Genre
tt0302640,Comedy,Genre
tt0307901,Drama,Genre
tt0292506,Action,Genre
tt0300471,Action,Genre
tt0283426,Animation,Genre
tt0305669,Comedy,Genre
tt0323642,Animation,Genre
tt0297144,Documentary,Genre
tt0311289,Adventure,Genre
tt0306841,Adventure,Genre
tt0315327,Comedy,Genre
tt0266543,Animation,Genre
tt0329575,Drama,Genre
tt0325980,Action,Genre
tt0322330,Comedy,Genre
tt0316356,Action,Genre
tt0337909,Comedy,Genre
tt0314431,Comedy,Genre
tt0331468,Drama,Genre
tt0328589,Comedy,Genre
tt0312549,Biography,Genre
tt0328880,Animation,Genre
tt0338094,Comedy,Genre
tt0318850,Adventure,Genre
tt0350194,Animation,Genre
tt0349825,Biography,Genre
tt0361467,Comedy,Genre
tt0317648,Action,Genre
tt0335245,Comedy,Genre
tt0299172,Animation,Genre
tt0318974,Drama,Genre
tt0353965,Documentary,Genre
tt0350028,Comedy,Genre
tt0327437,Action,Genre
tt0349683,Action,Genre
tt0368447,Drama,Genre
tt0368933,Comedy,Genre
tt0339412,Comedy,Genre
tt0357054,Comedy,Genre
tt0349710,Action,Genre
tt0317705,Animation,Genre
tt0368891,Action,Genre
tt0362270,Action,Genre
tt0417415,Documentary,Genre
tt0407121,Animation,Genre
tt0395699,Action,Genre
tt0396652,Comedy,Genre
tt0391304,Comedy,Genre
tt0371724,Adventure,Genre
tt0400497,Adventure,Genre
